# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Lite Edition
# File: /home/xieerqi/GIT/msudenver_eet_4020_verilog/LAB_4/eight_bit_counter.csv
# Generated on: Tue May  2 19:04:41 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Location,Direction,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
clear,PIN_AB12,Input,3A,B3A_N0,,,,,,,,,,,,,,
clock,PIN_AF14,Input,3B,B3B_N0,,,,,,,,,,,,,,
count_out[0],PIN_V16,Output,4A,B4A_N0,,,,,,,,,,,,,,
count_out[1],PIN_W16,Output,4A,B4A_N0,,,,,,,,,,,,,,
count_out[2],PIN_V17,Output,4A,B4A_N0,,,,,,,,,,,,,,
count_out[3],PIN_V18,Output,4A,B4A_N0,,,,,,,,,,,,,,
count_out[4],PIN_W17,Output,4A,B4A_N0,,,,,,,,,,,,,,
count_out[5],PIN_W19,Output,4A,B4A_N0,,,,,,,,,,,,,,
count_out[6],PIN_Y19,Output,4A,B4A_N0,,,,,,,,,,,,,,
count_out[7],PIN_W20,Output,5A,B5A_N0,,,,,,,,,,,,,,
enable,PIN_AC12,Input,3A,B3A_N0,,,,,,,,,,,,,,
